codigo_pozo,nombre_lugar,x,y,Fecha_muestreo,N-Amoniacal (mg/L),N-Nitritos (mg/L),N-Nitratos (mg/L),Alcalinidad Total (mg/L),Materia Organica (mg/L),Conductividad (uS/cm),pH,Bicarbonato (mg/L),Carbonato (mg/L),Sulfato (mg/L),Magnesio (mg/L),Calcio (mg/L),Sodio (mg/L),Potasio (mg/L),Cloruro (mg/L),Arsenico (mg/L),Mercurio (mg/L),Manganeso (mg/L),Cobre (mg/L),Cromo Total (mg/L),Coliformes Fecales (UFC/100 mL)
,,449958.2309,7218538.899,,,,,,,,,,,,,,,,,,,,,,
,,449217.124499999,7211883.15799999,,,,,,,,,,,,,,,,,,,,,,
,,445231.982,7208332.915,,,,,,,,,,,,,,,,,,,,,,
,,455976.232499999,7205902.73199999,,,,,,,,,,,,,,,,,,,,,,
,,448263.311999999,7205764.677,,,,,,,,,,,,,,,,,,,,,,
,,440319.2002,7205543.683,,,,,,,,,,,,,,,,,,,,,,
,,433396.0567,7202510.28299999,,,,,,,,,,,,,,,,,,,,,,
,,441249.304,7202380.63599999,,,,,,,,,,,,,,,,,,,,,,
,,445246.9501,7199673.28299999,,,,,,,,,,,,,,,,,,,,,,
,,441177.6827,7198028.279,,,,,,,,,,,,,,,,,,,,,,
,,436483.509799999,7196799.9,,,,,,,,,,,,,,,,,,,,,,
,,457209.4132,7194910.576,,,,,,,,,,,,,,,,,,,,,,
,,439239.9145,7192549.11899999,,,,,,,,,,,,,,,,,,,,,,
,,447791.352,7192430.00999999,,,,,,,,,,,,,,,,,,,,,,
,Ñemby,443992.817421752,7193865.40956259,,,,,,,,,,,,,,,,,,,,,,
,Ñemby,444031.862728553,7194153.49437655,,,,,,,,,,,,,,,,,,,,,,
,Ñemby,443644.815294927,7195281.41985602,,,,,,,,,,,,,,,,,,,,,,
,Ñemby,444157.601138909,7195372.14832232,,,,,,,,,,,,,,,,,,,,,,
,Ñemby,445842.214207398,7194315.93808135,,,,,,,,,,,,,,,,,,,,,,
,Ñemby,445491.108179031,7194059.8204276,,,,,,,,,,,,,,,,,,,,,,
,Luque,449464.823344321,7202214.56342665,,,,,,,,,,,,,,,,,,,,,,
,Ñemby,446679.418354924,7186179.93729314,,,,,,,,,,,,,,,,,,,,,,
,San Antonio,445535.558905826,7190538.49046941,,,,,,,,,,,,,,,,,,,,,,
,San Antonio,443730.498971628,7189235.39360248,,,,,,,,,,,,,,,,,,,,,,
,San Antonio,444454.624874013,7189238.40866436,,,,,,,,,,,,,,,,,,,,,,
,San Antonio,444804.582119107,7189738.18100822,,,,,,,,,,,,,,,,,,,,,,
,San Antonio,444863.973470742,7189970.97847311,,,,,,,,,,,,,,,,,,,,,,
,San Antonio,444139.670306211,7190001.2076038,,,,,,,,,,,,,,,,,,,,,,
,Villa Elisa,440796.752812649,7193109.76535866,,,,,,,,,,,,,,,,,,,,,,
,Capiata,452342.305347233,7196998.23600095,,,,,,,,,,,,,,,,,,,,,,
,Lambare,436684.480488697,7199004.57797116,,,,,,,,,,,,,,,,,,,,,,
,Limpio,452221.275871079,7217029.97905138,,,,,,,,,,,,,,,,,,,,,,
,San Lorenzo,447247.378821917,7195185.28223946,,,,,,,,,,,,,,,,,,,,,,
,San Lorenzo,447982.525550246,7195022.03568295,,,,,,,,,,,,,,,,,,,,,,
,Villa Elisa,440985.380625443,7195978.75685756,,,,,,,,,,,,,,,,,,,,,,
,Villa Elisa,440852.672495311,7196410.05921806,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
